spdb3517	服务调查满意度100%。
spdb8240	为贯彻落实党中央、国务院决策部署，对照国际最高标准、最好水平的自由贸易区，全面深化自贸试验区改革开放，加快构建开放型经济新体制，在新一轮改革开放中进一步发挥引领示范作用
spdb8247	深化实施全国海关通关一体化、“双随机、一公开”监管以及“互联网+海关”等举措，进一步改革海关业务管理方式，对接国际贸易“单一窗口”，建立权责统一、集成集约、智慧智能、高效便利的海关综合监管新模式。综合应用大数据、云计算、互联网和物联网技术，扩大“自主报税、自助通关、自动审放、重点稽核”试点范围。深化“一线放开”、“二线安全高效管住”改革，强化综合执法，推进协同治理，探索设立与“区港一体”发展需求相适应的配套管理制度。创新加工贸易出口货物专利纠纷担保放行方式。支持海关特殊监管区域外的企业开展高附加值、高技术、无污染的维修业务。深入实施货物状态分类监管，研究将试点从物流仓储企业扩大到贸易、生产加工企业，具备条件时，在上海市其他符合条件的海关特殊监管区域推广实施。
spdb8248	完善进口商品风险预警快速反应机制，加强进口货物不合格风险监测，实施消费品等商品召回制度。建立综合应用合格评定新机制，设立国家质量基础检验检疫综合应用示范园区。在制定发布不适用于第三方检验结果采信目录清单基础上，积极推进扩大商品和项目的第三方检验结果采信。探索扩大检验鉴定结果国际互认的范围。
spdb8249	2016年十大优秀应用”奖
spdb8250	全日制、全过程监管、全过程留痕
spdb8257	一是健全自律机制，增强自律工作的依法合理合规
spdb8258	一是健全自律机制，增强自律工作的依法合理合规；二是健全查处机制，规范从业人员行为及市场秩序
spdb8259	一是健全自律机制，增强自律工作的依法合理合规；二是健全查处机制，规范从业人员行为及市场秩序；三是健全投诉调解机制，依法高效化解保险纠纷；
spdb8260	一是健全自律机制，增强自律工作的依法合理合规；二是健全查处机制，规范从业人员行为及市场秩序；三是健全投诉调解机制，依法高效化解保险纠纷；四是健全跨行业合作机制，创新推进反保险欺诈工作；
spdb8267	（一）完善的股东（大）会、董事会（执行董事）、监事会（监事）、管理层的议事制度和决策程序；  （二）明确的股东、董事、监事和经理的权利、义务；  （三）面向全体股东的完善的财务信息公开制度。
spdb8268	（一）机构的名称住所、经营范围、注册资本等；  （二）股东（大）会、董事会（执行董事）、监事会（监事）以及管理层的产生、职权、议事规则等；  （三）法定代表人由董事长、执行董事或者总经理担任；  （四）《中华人民共和国公司法》列明的及股东（大）会会议认为需要规定的其他事项。
spdb8269	（一）决定机构的经营方针和投资计划；  （二）选举和更换由非职工代表担任的董事、监事；  （三）审议批准董事会（执行董事）、监事会（监事）的报告；  （四）对机构增加或减少注册资本作出决议；  （五）修改公司章程；  （六）《中华人民共和国公司法》列明的及公司章程规定的其他职权。
spdb8270	（一）执行股东（大）会决议；  （二）制定机构的经营计划、投资方案、重大资产处置方案和基本管理制度，决定机构内部管理机构的设置，其中经营计划应包括但不限于业务目标、经营模式、分支机构的设立等内容；  （三）决定聘任或解聘机构的高级管理人员、财务负责人；  （四）制定机构增加或减少注册资本的方案；  （五）《中华人民共和国公司法》列明的及公司章程规定的其他职权。
spdb8277	（一）董（理）事简历及其履职情况；  （二）监事简历及其履职情况；  （三）高级管理人员简历、职责及其履职情况；  （四）董（理）事、监事、高级管理人员年度报酬情况。
spdb8278	（一）责令改正；  （二）监管谈话；  （三）将其违规行为记入履职记录，进行行业通报；  （四）依法可以采取的其他监管措施。
spdb8280	（管理层讨论和分析）应当重点阐述报告期内的产品经营情况、赔付支出情况、财务运营情况、资金运用情况、准备金提取情况、偿付能力情况、关联交易情况、重大风险评估分析及其他重要事项。
spdb8287	协助处理上海金融官网、上海金融官微、上海金融人才网等平台的金融资讯发布、专题信息策划、舆情分析研究、重点工作课题研究等相关工作
spdb8288	本科三、四年级或硕士研究生二、三年级在读学生，经济、金融、管理、新闻传播等相关专业，会摄影摄像，责任心强，踏实肯干，具有良好的理解、沟通、协调和执行能力，有新媒体运营经验者优先。
spdb8289	协助处理信息化项目设计方案论证、官方网站建设运维、技术支持
spdb8290	本科三、四年级或硕士研究生二、三年级在读学生，计算机、软件工程、网络信息安全等相关专业，熟悉ps、矢量图等主流图片处理及java语言和html5编程技术，责任心强，踏实肯干，具有良好的理解、沟通、协调和执行能力
spdb8297	银行业金融机构要建立贯穿债券交易各环节、覆盖全流程的内控体系，加强债券交易的合规性审查和风险控制。坚持“穿透管理”和“实质重于形式”的原则，将债券投资纳入统一授信。。
spdb8298	银行业金融机构应将直接债券投资以及通过特殊目的载体（SPV）、表外理财等方式开展的债券投资纳入统一监测范围，全面掌握资金真实投向和底层债券资产的基本信息、风险状况、交易变动等情况，实现准入集中、数据集中和退出集中管理。
spdb8299	银行业金融机构要审慎开展委外投资业务，严格委外机构审查和名单管理，明确委外投资限额、单一受托人受托资产比例等要求，规范开展债券回购和质押融资，严格控制交易杠杆比率，不得违规放大投资杠杆。
spdb8300	高度关注债券集中到期的企业、出现债券违约的企业，防控债券违约风险向信贷业务传导。各级监管机构要督促风险管理能力薄弱、债券投资占比高的银行合理控制持债余额。
spdb8317	为贯彻落实党中央国务院关于金融风险防控的重要精神和决策部署，深入推进“保险业姓保，保监会姓监”，进一步增强保险业风险防范的前瞻性、有效性、针对性，严守不发生系统性风险底线，维护保险业持续稳定健康发展
spdb8318	保险公司要根据偿二代流动性监管规则，进一步明确董事会、管理层和相关部门在流动性风险防范中的职责，做到分工明确、协调有序。要建立完善流动性风险管理的目标、风险容忍度和风险限额，制定流动性风险管理策略和具体管理制度，切实做好流动性风险管理。
spdb8319	保险公司要加强对流动性风险的监测，充分考虑产品停售、业务规模下降、退保和满期给付等因素对公司流动性的影响。要跟踪分析宏观经济、股票市场、证券市场等发展趋势和变化情况，密切关注舆论报道，及早识别可能引发流动性风险的重大风险因素，监测评估其对流动性水平的影响，提早采取措施做好应对。
spdb8320	保险公司要制定有效的流动性应急计划，特别是对于业务下降、退保和满期给付等带来的流动性压力，做好资金备付。保险公司要按照偿二代要求定期开展现金流压力测试，做好现金流预测，提早制定应对预案。。
spdb8328	当日该证券最后一笔交易前一小时所有交易的成交量加权平均价（含最后一笔交易）。
spdb8330	占款天数，是指当次回购交易的首次交收日（含）至到期交收日（不含）的实际日历天数。
spdb8337	为深入贯彻党的十八届六中全会和中央经济工作会议精神、特别是习近平总书记关于金融工作的重要指示精神，落实党中央国务院关于做好金融业风险防范工作的有关部署，明确当前和今后一个时期加强保险监管、治理市场乱象、补齐监管短板、防范行业风险的任务和要求
spdb8338	要把业务扩张激进、风险指标偏离度大的异常机构作为监管重点，在市场准入、产品审批备案、高管核准等方面进行必要的限制。要配足配强监管资源，对重点关注的公司就有无违规资金运用、股东虚假注资、公司治理失效、信息披露不实等问题实施全面清查。
spdb8339	要明确风险防控目标，努力减少存量风险、控制增量风险。要增强同风险赛跑的意识，摸清风险底数，关注和紧盯重点公司、重点领域和重点产品的风险，防止个体风险演变为局部风险、局部风险演变为整个行业风险。要敢于碰硬、敢于揭盖、果断出手，有序处置一批风险点，同时，对风险处置中的风险及可能产生的次生风险有充分的预计和应对预案，确保总体可控。
spdb8340	各单位要按照保监会总体要求和部署，针对各领域、各辖区的实际情况，制定切实可行的行动方案，切实做到底数清、情况明、症结准、措施实。要督促各保险机构全面对标监管制度，排查内部管理制度的空白与漏洞，逐项增补完善，及时将监管要求转化为公司治理、业务经营和风险控制的政策、流程和方法，确保各项监管制度落地生效。。
spdb8347	完善党委会会议制度，规范党委会决策程序，规范会议记录格式，加强对会议纪要的审核把关。认真学习贯彻全国国有企业党的建设工作会议精神，积极推动下属企业把党建工作要求写入公司章程，确保党组织发挥领导核心和政治核心作用。加强对归口管理单位党建工作的领导，抓好检查考核，督促健全和规范党委中心组学习、党员领导干部民主生活会、“三会一课”、民主评议党员等各项制度，做好基层党组织按期换届、党员组织关系管理、党费收缴管理使用等基础性工作。截至目前，12家未按期换届基层党支部中，11家已完成换届，剩余1家将于2017年4月底前完成换届选举；党费收缴使用管理工作专项检查也已完成，党费收缴使用工作进一步规范。。
spdb8348	2017年3月，完成机关党支部设置调整工作，原则上以处室为单位组建支部，书记由党员处长担任，落实“一岗双责”。机关党委组织编印《机关党支部工作实务图解》和《党员手册》，加强对新任支部书记的培训，进一步规范党支部各项工作。明确党费收缴标准，完成党费补缴工作。加强支部工作计划性，落实双重组织生活制度，并明确委办领导每年至少为党员上一次党课。。
spdb8349	一是细化党风廉政建设工作责任。党委认真履行党风廉政建设主体责任，将党风廉政建设作为重点内容列入党委工作要点，并作为重点督查项目。结合处室职能调整，明确由组织处负责党风廉政建设具体工作，并加强工作力量配备。党委书记认真履行党风廉政建设第一责任人职责，组织召开机关干部大会部署年度党风廉政建设工作，并与机关各处室和下属企事业单位负责人签订落实全面从严治党要求责任书。党委委员认真履行“一岗双责”，把抓业务与带队伍结合起来，督促分管处室同志严守党纪党规，廉洁从政，形成了齐抓共管、协同推进党风廉政建设的格局。
spdb8350	党委把廉洁风险点排查作为党风廉政建设工作的重要抓手，组织机关各处室认真梳理职权事项，排摸廉洁风险点。在此基础上，明确和规范权力运行流程，落实防控责任与措施。同时，针对巡视反馈的具体事项，研究采取有针对性的整改措施：加强对委托研究课题的管理，做好跟踪评价，加强成果转化；严格金融创新奖的评选，及时更新充实评审专家库，随机抽签确定评审专家和项目答辩顺序，现场评审打分通过电子系统实时留存，所有过程文件一律严格按保密程序存档或销毁；明确小贷机构联席审批会议必须有会议记录和会议纪要。。
spdb8357	海外、领军、青年三类重点金融人才，每年选拔20名左右的具有全球视野、通晓国际规则、熟悉金融运作、勇于金融创新的海外金融人才，授予“海外金才”称号
spdb8358	“海外金才”称号；每年选拔40名左右道德素质过硬、专业贡献重大、团队效应突出、引领作用显著的领军金融人才
spdb8359	素质强、工作业绩优、发展潜力大的青年金融人才
spdb8360	参加中央和上海“千人计划”、上海领军人才、上海青年英才等重大人才开发计划的选拔。
spdb8367	“一带一路”建设为保险业创造了巨大的战略机遇，是保险业全面融入国家战略，扩大对外开放，实现行业跨越式发展的有利契机，对于提升我国保险业国际化能力和水平、增强国际竞争力、促进我国由保险大国向保险强国转变具有重要意义。
spdb8368	保险业应坚持市场运作、持续发展推动“一带一路”建设。遵循市场规律和国际通行规则，充分发挥保险功能作用，增强对“一带一路”建设的服务和保障能力，培育我国保险业核心竞争力。在支持国家战略落地的过程中，加强“一带一路”沿线国家和地区的政策及形势研判，切实做好风险管控，提高保险运行效率和保障水平，推动可持续发展。
spdb8369	保险业打造交流合作平台，提升保险业服务“一带一路”建设的整体能力。组建行业战略联盟，探索建立保险业“一带一路”国际保险再保险共同体和投资共同体，打造国内外保险行业资源共享和发展平台，提升整体承保和服务能力。推动搭建“一带一路”建设保险需求与供给对接平台，探索建立全行业风险数据库和保险资金运用项目库，加强行业内外部信息共享。加快区域性再保险中心建设，为我国保险机构“走出去”提供支撑。
spdb8377	一报销，坚决杜绝先支出后补手续的现象。
spdb8378	一报销，坚决杜绝先支出后补手续的现象。
spdb8387	为全面贯彻落实党中央、国务院关于金融支持实体经济的决策部署，充分发挥保险风险管理与保障功能，拓宽保险资金支持实体经济渠道，促进保险业持续向振兴实体经济发力、聚力，提升保险业服务实体经济的质量和效率
spdb8388	服务国家战略和实体经济的导向，发挥保险业务和资金独特优势，做实体经济服务者和价值的发现者；坚持改革创新的理念，适应实体经济发展的不同需求，不断创新保险产品、业务模式和保险资金运用方式，拓宽支持实体经济的渠道；坚持发挥市场在资源配置中的决定性作用，遵循依法合规和专业化、市场化运作原则
spdb8389	支持国家区域经济发展战略。鼓励保险资金服务京津冀协同发展、长江经济带以及西部开发、东北振兴、中部崛起、东部率先等区域发展。支持保险资金对接国家自贸区建设和粤港澳大湾区等城市群发展的重点项目和工程。积极引导和支持保险资金参与雄安新区建设，探索新的投融资机制，对于新区的交通基础设施、水利、生态、能源、公共服务等重大项目给予长期资金支持。
spdb8390	推动保险机构不断提升境外投资能力，支持保险资金参与“一带一路”沿线国家和地区的重大基础设施、重要资源开发、关键产业合作和金融合作。支持保险资金为“一带一路”框架内的经贸合作和双边、多边的互联互通提供投融资支持，通过股权、债权、股债结合、基金等形式为大型投资项目提供长期资金支撑。鼓励中资保险机构“走出去”，在“一带一路”沿线国家或地区布局，为“一带一路”建设提供保险保障服务。
spdb8398	为规范本市网络借贷信息中介机构业务活动，促进行业健康发展
spdb8400	全市高等院校、科研机构、社会团体、企业等单位或个人
spdb8408	1、上海建设人民币全球服务体系方案及举措研究；  2、深化
spdb8409	全市高等院校、科研机构、社会团体、企业等单位或个人
spdb8410	2017年6月8日至6月30日。
spdb8417	按照《上海市事业单位公开招聘人员暂行办法》和招聘简章等有关规定，为贯彻公开、公平、竞争、择优的招录原则
spdb8418	①身份证复印件或扫描件；  ②考生报名表（上海市职业考试院官方网站http://sydw.spta.gov.cn报名系统登录打印）；  ③学历、学位证书复印件或扫描件；  ④工作证或劳动合同复印件或扫描件；  ⑤专业资格证书、职称证书复印件或扫描件；  ⑥荣誉证书复印件或扫描件等有关材料;  ⑦外省市社会人员提供上海市居住证复印件或扫描件。
spdb8419	7月7日（周五）17：00前报考综合服务部、人才服务部、技术保障部的考生通过邮件及邮寄方式将需提交材料寄送至我单位。
spdb8420	①身份证复印件或扫描件；  ②考生报名表（上海市职业考试院官方网站http://sydw.spta.gov.cn报名系统登录打印）；  ③学历、学位证书复印件或扫描件；  ④工作证或劳动合同复印件或扫描件；  ⑤专业资格证书、职称证书复印件或扫描件；  ⑥荣誉证书复印件或扫描件等有关材料;  ⑦外省市社会人员提供上海市居住证复印件或扫描件。
spdb8427	（一）公开谴责，记入履职记录；  （二）认定为不适当人选；  （三）依法可以采取的其他措施。
spdb8429	对于统一交易协议项下发生的资金运用行为，在底层基础资产涉及保险公司关联方的，应当按照有关规定进行关联交易审查并报告。
spdb8430	按照实质重于形式的原则穿透认定关联方和关联交易行为。
spdb8437	被保险人同意投保人为其订立保险合同并认可合同内容；销售人身保险新型产品的，还应包括保险销售从业人员出示产品说明书、投保人抄录投保单风险提示语句等。
spdb8440	为规范保险销售行为，维护保险消费者合法权益，促进行业持续健康发展
spdb8447	2016年，上海自贸区的进出口呈现逆势上扬态势，同比增长5.8%
spdb8457	依法监管、从严监管、全面监管)深入推进的格局下，上交所更加注重发挥惩戒手段在消除风险隐患、纠正违规苗头、震慑不当行为、净化市场生态中的作用，保持对各类违规行为的高压态势，加大对新型违规行为的惩戒力度，从严处理危及市场稳定的恶性违规案件，纪律处分的针对性和专业性，都有了不同程度的提升。
spdb8458	在消除风险隐患、纠正违规苗头、震慑不当行为、净化市场生态中的作用，保持对各类违规行为的高压态势，加大对新型违规行为的惩戒力度，从严处理危及市场稳定的恶性违规案件，纪律处分的针对性和专业性，都有了不同程度的提升。
spdb8459	截至7月31日，共作出公开谴责决定11份、通报批评决定19份、监管关注决定33份，涉及上市公司33家。在责任人方面，共处理79名董监高、15家股东以及2名财务顾问项目主办人，合计96人次。
spdb8467	免收会务费、场地费、材料印刷费、网络平台使用费。交通、食宿等费用自理
spdb8477	一直是市场和投资者关注的重点，影响市场交易秩序，关乎投资者切身利益。近期，证监会出台了股份减持新规，交易所的一线监管也在同步跟进，严格执行减持罚则，防控异常减持行为。
spdb8480	1.上海建设人民币全球服务体系方案及举措研究  2017-Z-U01 上海社会科学院         姚大庆  2.深化金融创新背景下交叉性金融风险管理研究  2017-Z-U02 上海浦东发展银行总行   赵先信
spdb8487	为了支持普惠金融发展，促进资金融通，规范融资担保公司的行为
spdb8488	担保人为被担保人借款、发行债券等债务融资
spdb8489	依法设立、经营融资担保业务的有限责任公司或者股份有限公司。
spdb8490	（一）股东信誉良好，最近3年无重大违法违规记录；  （二）注册资本不低于人民币2000万元，且为实缴货币资本；  （三）拟任董事、监事、高级管理人员熟悉与融资担保业务相关的法律法规，具有履行职责所需的从业经验和管理能力；  （四）有健全的业务规范和风险控制等内部管理制度。
spdb8497	要求保险公司依法履行提示、说明等义务，以及对企业日常信息、产品信息等重要信息进行披露；要求投保人履行如实告知义务等
spdb8498	保交所将建立由金融保险、社会保障、医疗卫生和法律合规等相关领域知名专家学者组成的保险产品专家库
spdb8499	上海保交所向各会员单位发布《保险账户管理暂行办法》，旨在建立我国保险交易领域标准化、现代化、集约化的保险账户规则体系，为规范上海保交所交易参与人的各项交易活动、提高保险行业账户管理的规范化水平和标准化程度打下坚实的制度基础。
spdb8500	标志着上海保交所朝着建设保险业标准化账户管理体系方向迈出了坚实的一步，对于推进我国保险交易市场现代化建设具有重要意义。
spdb8517	网络借贷信息中介机构及其分支机构通过其官方网站及其他互联网渠道向社会公众公示网络借贷信息中介机构基本信息、运营信息、项目信息、重大风险信息、消费者咨询投诉渠道信息等相关信息的行为。
spdb8518	在其官方网站及提供网络借贷信息中介服务的网络渠道显著位置设置信息披露专栏，展示信息披露内容。披露用语应当准确、精练、严谨、通俗易懂。
spdb8519	网络借贷信息中介机构手机应用软件、微信公众号、微博等社交媒体渠道及网络借贷信息中介机构授权开展信息披露的其他互联网平台。各渠道间披露信息内容应当保持一致。
spdb8520	（
spdb8527	保险消费者教育、发布保险消费风险提示是保险消费者权益保护工作的重要内容，是保障保险消费者知情权、受教育权等基本权利的重要手段，是减少保险消费纠纷、提高保险消费者风险识别和自我保护能力、防范保险消费风险聚集的有效措施。
spdb8528	坚持以人民为中心的发展思想，树立服务意识，针对保险消费者关心的热点、难点和疑点问题及时、准确、客观地进行风险提示和教育引导，强化保险消费风险监测，推进保险消费风险提示工作规范化、制度化、科学化，为保险消费者权益保护工作提供基础支撑。
spdb8529	坚持及时准确、客观审慎。结合保险消费风险监测情况，本着专业客观、严谨审慎的态度，向消费者提供及时、真实、准确、全面的消费风险提示信息。
spdb8530	在全行业建立起科学规范、运行有效的保险消费风险提示工作机制，形成多方参与、上下联动、协同运作、及时有效的保险消费风险提示工作格局，建立保险消费风险提示统一平台，满足保险消费者及时、便捷掌握保险消费风险信息的需求，提高保险消费者风险识别和自我保护能力，防止保险消费风险聚集和蔓延。
spdb8537	到2020年，初步形成适应社会主义市场经济要求、适合中国国情、符合国际标准的“三反”法律法规体系，建立职责清晰、权责对等、配合有力的“三反”监管协调合作机制，有效防控洗钱、恐怖融资和逃税风险。
spdb8538	反洗钱行政主管部门要加强可疑交易线索移送和案件协查工作，相关单位要加强对线索使用查处情况的及时反馈，形成打击洗钱、恐怖融资和逃税的合力，维护金融秩序和社会稳定。  （七）加强监管协调，健全监管合作机制。在行业监管规则中嵌入反洗钱监管要求，构建涵盖事前、事中、事后的完整监管链条。充分发挥反洗钱工作部际联席会议作用，加强反洗钱行政主管部门和金融监管部门之间的协调，完善监管制度、政策和措施，开展联合监管行动，共享监管信息，协调跨境监管合作。  （八）依法使用政务数据，健全数据信息共享机制。
spdb8539	推动研究完善相关刑事立法，修改惩治洗钱犯罪和恐怖融资犯罪相关规定。按照我国参加的国际公约和明确承诺执行的国际标准要求，研究扩大洗钱罪的上游犯罪范围，将上游犯罪本犯纳入洗钱罪的主体范围。对照国际公约要求，根据我国反恐实际需要，推动逐步完善有关恐怖融资犯罪的刑事立法，加强司法解释工作。研究建立相关司法工作激励机制，提升反洗钱工作追偿效果。  （十一）明确执行联合国安理会反恐怖融资相关决议的程序。
spdb8540	建立健全防控风险为本的监管机制，引导反洗钱义务机构有效化解风险。以有效防控风险为目标，持续优化反洗钱监管政策框架，合理确定反洗钱监管风险容忍度，建立健全监管政策传导机制，督促、引导、激励反洗钱义务机构积极主动加强洗钱和恐怖融资风险管理，充分发挥其在预防洗钱、恐怖融资和逃税方面的“第一道防线”作用。综合运用反洗钱监管政策工具，推行分类监管，完善风险预警和应急处置机制，切实强化对高风险市场、高风险业务和高风险机构的反洗钱监管。  （十五）强化法人监管措施，提升监管工作效率。
spdb8550	组委会统筹协调，对部分场次的举办时间进行了调整。
spdb8557	由申银万国期货公司与中国人保上海浦东支公司以及云南省分公司联合开展
spdb8559	对信访基础业务规范化操作进行了实务培训，邀请中国人民银行金融消费权益保护局相关领导同志讲授当前金融消费者权益保护机制方面的探索，并组织学员就依法分类处理信访事项开展了分组讨论。
spdb8569	权利人因提供一定的货物、服务或设施而获得的要求义务人付款的权利以及依法享有的其他付款请求权，包括现有的和未来的金钱债权，但不包括因票据或其他有价证券而产生的付款请求权，以及法律、行政法规禁止转让的付款请求权。
spdb8570	（一） 销售、出租产生的债权，包括销售货物，供应水、电、气、暖，知识产权的许可使用，出租动产或不动产等；  （二） 提供医疗、教育、旅游等服务或劳务产生的债权；  （三） 能源、交通运输、水利、环境保护、市政工程等基础设施和公用事业项目收益权；  （四） 提供贷款或其他信用活动产生的债权;  （五） 其他以合同为基础的具有金钱给付内容的债权。
spdb8580	旨在通过这一公益性素质提升和交流互动平台，汇聚金融精英，启迪金融智慧，传递金英力量，发挥引领作用。
spdb8588	为做好2017年度上海金融创新奖申报工作
spdb8589	《实施办法》有关要求，于近年内完成研发并已投入实施和运用一年以上，且创新性突出、经济和社会效益显著、行业引领示范作用明显、风险防控措施到位；对于创新性较强、在短期内已经取得显著经济社会效益的项目，年限要求可适当放宽。
spdb8590	一是切实服务实体经济，促进“脱虚向实”、助力供给侧结构性改革的金融创新；二是促进防范化解金融风险的金融创新；三是助力上海自贸试验区金融改革创新和具有全球影响力科技创新中心建设的金融创新；四是促进提升上海金融市场体系功能和能级的金融创新；五是其他符合申报条件的金融创新。
spdb8598	权利人因提供一定的货物、服务或设施而获得的要求义务人付款的权利以及依法享有的其他付款请求权，包括现有的和未来的金钱债权，但不包括因票据或其他有价证券而产生的付款请求权，以及法律、行政法规禁止转让的付款请求权。
spdb8599	（一） 销售、出租产生的债权，包括销售货物，供应水、电、气、暖，知识产权的许可使用，出租动产或不动产等；  （二） 提供医疗、教育、旅游等服务或劳务产生的债权；  （三） 能源、交通运输、水利、环境保护、市政工程等基础设施和公用事业项目收益权；  （四） 提供贷款或其他信用活动产生的债权;  （五） 其他以合同为基础的具有金钱给付内容的债权。
spdb8600	《中华人民共和国物权法》第二百二十三条规定的应收账款出质，具体是指为担保债务的履行，债务人或者第三人将其合法拥有的应收账款出质给债权人，债务人不履行到期债务或者发生当事人约定的实现质权的情形，质权人有权就该应收账款及其收益优先受偿。
spdb8607	注册在本市的金融要素市场，注册在本市的各类中、外资金融机构法人总部，全国性重点金融机构在沪分支机构、持牌营运中心、自贸区分支机构，已获金融管理部门业务许可或备案的新型金融企业，或在沪金融管理单位及对推进金融创新有突出贡献的其他管理单位。
spdb8609	一是切实服务实体经济，促进“脱虚向实”、助力供给侧结构性改革的金融创新；二是促进防范化解金融风险的金融创新；三是助力上海自贸试验区金融改革创新和具有全球影响力科技创新中心建设的金融创新；四是促进提升上海金融市场体系功能和能级的金融创新；五是其他符合申报条件的金融创新。
spdb8610	中多次强调了上海自贸区和科创中心建设的重要性
spdb8620	营销、大数据风控、金融云生态建设、生物识别等领域开展深入的交流与合作
spdb8627	坚持积极稳妥审慎推进，正确处理改革、发展、稳定关系，坚持防范风险与有序规范相结合，在下决心处置风险的同时，充分考虑市场承受能力，合理设置过渡期，把握好工作的次序、节奏、力度，加强市场沟通，有效引导市场预期。
spdb8628	是指银行、信托、证券、基金、期货、保险资产管理机构等金融机构接受投资者委托，对受托的投资者财产进行投资和管理的金融服务。
spdb8629	包括但不限于银行非保本理财产品，资金信托计划，证券公司、证券公司子公司、基金管理公司、基金管理子公司、期货公司、期货公司子公司和保险资产管理机构发行的资产管理产品等。
spdb8630	不特定社会公众和合格投资者两大类。
spdb8637	（一）依法募集资金，办理产品份额的发售和登记事宜。  （二）办理产品登记备案手续。  （三）对所管理的不同产品受托财产分别管理、分别记账，进行投资。  （四）按照产品合同的约定确定收益分配方案，及时向投资者分配收益。  （五）进行产品会计核算并编制产品财务会计报告。  （六）依法计算并披露产品净值，确定申购、赎回价格。  （七）办理与受托财产管理业务活动有关的信息披露事项。  （八）保存受托财产管理业务活动的记录、账册、报表和其他相关资料。  （九）以管理人名义，代表投资者利益行使诉讼权利或者实施其他法律行为。  （十）金融监督管理部门规定的其他职责。  金融机构未按照勤勉尽责原则切实履行受托管理职责，造成投资者损失的，应当依法向投资者承担赔偿责任。
spdb8638	（一）【非标准化债权类资产】标准化债权类资产是指在银行间市场、证券交易所市场等国务院和金融监督管理部门批准的交易市场交易的具有合理公允价值和较高流动性的债权性资产，具体认定规则由人民银行会同金融监督管理部门另行制定。其他债权类资产均为非标准化债权类资产。  金融机构发行资产管理产品投资于非标准化债权类资产的，应当遵守金融监督管理部门制定的有关限额管理、风险准备金要求、流动性管理等监管标准
spdb8639	（一）资产管理产品的发行人或者管理人违反公允价值确定净值原则对产品进行保本保收益。  （二）采取滚动发行等方式使得资产管理产品的本金、收益、风险在不同投资者之间发生转移，实现产品保本保收益。  （三）资产管理产品不能如期兑付或者兑付困难时，发行或者管理该产品的金融机构自行筹集资金偿付或者委托其他金融机构代为偿付。  （四）人民银行和金融监督管理部门共同认定的其他情形。
spdb8640	（一）机构监管与功能监管相结合，按照产品类型而不是机构类型实施功能监管，同一类型的资产管理产品适用同一监管标准，减少监管真空和套利。  （二）实行穿透式监管，对于已经发行的多层嵌套资产管理产品，向上识别产品的最终投资者，向下识别产品的底层资产（公募证券投资基金除外）。  （三）强化宏观审慎管理，建立资产管理业务的宏观审慎政策框架，完善政策工具，从宏观、逆周期、跨市场的角度加强监测、评估和调节。  （四）实现实时监管，对资产管理产品的发行销售、投资、兑付等各环节进行全面动态监管，建立综合统计制度。
spdb8647	为促进银信类业务规范健康发展，防范金融风险，保护投资者合法权益
spdb8648	是指商业银行作为委托人，将表内外资金或资产（收益权）委托给信托公司，投资或设立资金信托或财产权信托，由信托公司按照信托文件的约定进行管理、运用和处分的行为。
spdb8649	是指在银信类业务中，商业银行作为委托人设立资金信托或财产权信托，信托公司仅作为通道，信托资金或信托资产的管理、运用和处分均由委托人决定，风险管理责任和因管理不当导致的风险损失全部由委托人承担的行为。
spdb8657	发挥银行监管与政府扶持的协同效应；发挥监管规则
spdb8658	旨在通过整体设计与全行业推进，在发挥商业银行主导作用的同时，促成相关政府部门与市场主体形成合力，协同打造覆盖科创企业全生命周期的“金融服务链”，建设符合上海科创中心特点的科技金融生态环境。
spdb8659	为在保险监管工作中充分发挥法律专业人才的作用
spdb8660	1.具有中华人民共和国律师资格或法律职业资格；  2.系中国保监会及其派出机构正式在编公职人员；  3.在保监会系统中工作2年以上（不含试用期），且从事法律事务相关工作；  4.最近2年年度考核等次在“称职”以上；  5.品行端正，并具有良好的政治、业务素质，无违法违规记录及其他不宜从事法律工作的情形；  6.中国保监会同意其担任公职律师。
spdb8667	考核工作由法规部、人事教育部组织，公职律师提供年度工作总结，法规部商公职律师所在部门或者派出机构提出评定意见，会签人事教育部后，将年度业务考核等次建议和公职律师工作情况总结报送司法部，由司法部审核后，确定公职律师年度业务考核等次。业务考核工作具体时间及申报材料以法规部通知为准。。
spdb8668	连续两个年度未参加业务考核或业务考核不合格的，法规部商公职律师所在部门或派出机构提出意见，会签人事教育部后，报司法部注销其公职律师执业证书。
spdb8670	《2017年亚洲发展展望》更新报告，将中国今明两年经济增长预期较4月份预测水平分别上调0.2个百分点至6.7％和6.4％。
spdb8677	通过人保资产与陕西咸阳市党政代表团的洽谈交流，进一步感受到咸阳不仅具有悠久的历史、厚重的文化、丰富的资源，更具备良好的发展前景和投资潜力，有助于为保险资金配置提供新的机会。
spdb8678	已获得《上海市2016-2018年科技型中小企业和小型微型企业信贷风险补偿办法》试点资格的银行业金融机构。
spdb8680	为规范商业银行委托贷款业务，加强风险防范，更好地服务实体经济
spdb8687	（1）开展此项业务的申报主体和对接机制；（2）专业机构和专业队伍建设；（3）专门的审批机制；（4）科技型中小企业和小型微型企业信贷的激励考核机制和“尽职免责”认定机制；（5）专门的管理信息系统；（6）专门的风险管理和不良贷款清收机制。
